analysis_group,metric,n,median,q25,q75,min,max,claim_boundary,readout_class,interpretation_boundary
COVID_ASYMPTOMATIC,cd3_cd14_double_fraction,1,0.0189832500734645,0.0189832500734645,0.0189832500734645,0.0189832500734645,0.0189832500734645,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_ASYMPTOMATIC,cd3_cd14_abundance_normalized,1,0.2366183307569795,0.2366183307569795,0.2366183307569795,0.2366183307569795,0.2366183307569795,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_ASYMPTOMATIC,cd3_cd14_hmean_enrichment_exclusive,1,0.0980750052326368,0.0980750052326368,0.0980750052326368,0.0980750052326368,0.0980750052326368,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_ASYMPTOMATIC,double_event_hla_dr_pos_fraction,1,0.0712074303405572,0.0712074303405572,0.0712074303405572,0.0712074303405572,0.0712074303405572,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_ASYMPTOMATIC,double_event_cd33_pos_fraction,1,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0123839009287925,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_ASYMPTOMATIC,double_event_cd11c_pos_fraction,1,0.0433436532507739,0.0433436532507739,0.0433436532507739,0.0433436532507739,0.0433436532507739,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_ASYMPTOMATIC,double_event_cd16_pos_fraction,1,0.0773993808049535,0.0773993808049535,0.0773993808049535,0.0773993808049535,0.0773993808049535,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_ASYMPTOMATIC,double_event_cd38_pos_fraction,1,0.2972136222910216,0.2972136222910216,0.2972136222910216,0.2972136222910216,0.2972136222910216,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_CONV,cd3_cd14_double_fraction,16,0.01797049402937475,0.0105390757191201,0.022694185274876502,0.0025957170668397,0.0329092366259266,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_CONV,cd3_cd14_abundance_normalized,16,0.2465500080447941,0.18206611085765445,0.3075216671278916,0.1191655171095619,0.4154422199533352,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_CONV,cd3_cd14_hmean_enrichment_exclusive,16,0.08722344052627784,0.06992157827669869,0.1408754142350441,0.0224304904717275,0.2190242719791637,strict event-QC summary; no physical-complex claim,frequency_or_abundance,frequency/abundance readout; not proof of cell contact
COVID_CONV,double_event_hla_dr_pos_fraction,16,0.06798956439244205,0.045114621190942124,0.1213141683778234,0.0,0.2669491525423729,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
COVID_CONV,double_event_cd33_pos_fraction,16,0.0415776967467122,0.01150082312054135,0.09388249545729857,0.0,0.1457905544147844,strict event-QC summary; no physical-complex claim,state_marker_inside_cd3_cd14_events,state remodeling readout inside residual events; not uniform HLA-DR-loss claim
