RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
S00016-Ja001T-TRGa,-0.4232719555078182,0.2292417520754237,0.1313193132922936,-0.3222990031521895,-0.54346528549725,0.8663945017233267,S00016-Ja001,-0.652513707583242,-0.5515407552276133
S00020-Ja003T-TRGa,-0.0642006480827765,-0.1213914130199277,-0.1693125018911615,-0.5752066210351802,-0.5294910870517378,0.5662190368958364,S00020-Ja003,0.0571907649371512,-0.4538152080152524
S00024-Ja003T-TRGa,0.2465074688411854,0.1156495742899789,0.3482749560429457,0.2209177617483048,0.4401116191638441,-0.1884543870068876,S00024-Ja003,0.1308578945512065,0.1052681874583258
S00027-Ja003T-TRGa,0.2614196551032241,-0.7147645015084128,-0.6337555690988114,0.2330616839278347,0.6262126725847816,-0.7387949880561693,S00027-Ja003,0.9761841566116368,0.9478261854362476
S00028-Ja001T-TRGa,0.0626420033694235,0.9431013650674736,1.2408767962740537,0.5789827569535432,0.095740247367339,0.4886216450034677,S00028-Ja001,-0.8804593616980501,-0.3641186081139305
S00030-Ja003T-TRGa,0.8162116288419733,-0.7988321196922464,-0.8741645089766821,0.4463734997828735,0.7414140806855621,-0.5654806997138617,S00030-Ja003,1.6150437485342195,1.24520561947512
S00033-Ja001T-TRGa,-0.1533612245500286,-0.5514092759061798,-0.5464473254071939,0.4242662106615062,-0.156165380553197,-0.2124238901714852,S00033-Ja001,0.3980480513561512,0.975675486567686
S00033-Ja003T-TRGa,0.2184806414122609,-0.8725202283641018,-0.8253134871502547,0.6654412771340465,0.2090352043898831,-0.3678968074616069,S00033-Ja003,1.091000869776363,1.5379615054981484
S00034-Ja005T-TRGa,-0.1233188745328938,-0.215081662934276,0.0744928578422676,0.4314992340290914,-0.0850809246849183,-0.0863087627918808,S00034-Ja005,0.0917627884013821,0.6465808969633674
S00033-Ja005T-TRGa,0.1309005113283825,-0.3606508429692692,-0.4159758166289358,0.3594620711112891,-0.2096106151912342,-0.0533012765632936,S00033-Ja005,0.4915513542976517,0.7201129140805583
S00037-Ja003T-TRGa,-0.491178545839522,0.1960446389695376,-0.1368766151421753,-0.0898442845326239,-0.500798371895985,0.7591847201382897,S00037-Ja003,-0.6872231848090596,-0.2858889235021615
S00039-Ja001T-TRGa,0.0011802767064739,-0.6034776276461732,-0.4746551359969315,0.2547304751766602,-0.0347053805628062,-0.3650513138471096,S00039-Ja001,0.6046579043526471,0.8582081028228334
S00040-Ja005T-TRGa,0.4216365182748906,-0.0485056757355729,-0.2337796516066854,0.1563807677472053,0.7292394993932519,0.2134277007262445,S00040-Ja005,0.4701421940104636,0.2048864434827783
S00041-Ja001T-TRGa,-0.3295098846383037,1.259440590391095,1.1329474789484948,0.3580305532023544,-0.2251935148356388,0.2207428673549874,S00041-Ja001,-1.5889504750293988,-0.9014100371887406
S00042-Ja001T-TRGa,0.2679704416673156,-0.4000217035132575,-0.5964143380600755,0.523965545332516,0.4202608952316481,-0.0903825012511686,S00042-Ja001,0.6679921451805731,0.9239872488457735
S00042-Ja003T-TRGa,-0.6290293872525526,0.871458687198355,0.8519853366616865,-0.5660717337249624,-0.5600497564203469,0.6062340026055669,S00042-Ja003,-1.5004880744509077,-1.4375304209233173
S00043-Ja005T-TRGa,0.2997454200521802,-0.7870962219553662,-0.7536783542062718,0.2960592233898337,0.2317685307040862,-0.2594894009329703,S00043-Ja005,1.0868416420075464,1.0831554453452
S00045-Ja001T-TRGa,0.0788809924615798,0.2680561091574376,0.2325879721372577,-0.0160116526223751,-0.0426597238211478,0.7089397275699281,S00045-Ja001,-0.1891751166958578,-0.2840677617798128
S00045-Ja003T-TRGa,0.1742582664322852,0.1070614619946262,0.0876262433773109,0.3628889899866984,0.318919247421478,0.4320391417217288,S00045-Ja003,0.0671968044376589,0.2558275279920722
S00045-Ja005T-TRGa,-0.268660258827122,0.1394269692356473,0.0943499104244792,0.0429248737786411,-0.0093429247087683,0.550487957298696,S00045-Ja005,-0.4080872280627694,-0.0965020954570061
S00048-Ja003T-TRGa,-0.4411100800643304,0.3892831800617869,0.4666562355542138,-0.0372602171006561,-0.3664478013006474,0.3768587902042574,S00048-Ja003,-0.8303932601261175,-0.4265433971624431
S00048-Ja005T-TRGa,-0.3490203458084268,0.8796510848760466,0.969862464272088,0.1945342690371488,-0.2290814765155916,0.217887211861299,S00048-Ja005,-1.2286714306844737,-0.6851168158388978
S00049-Ja003T-TRGa,-0.4364569432903686,0.3060917095548744,0.4525733191840773,-0.2434953871746799,-0.0839882834814845,0.9672839248714132,S00049-Ja003,-0.7425486528452431,-0.5495870967295544
S00050-Ja001T-TRGa,0.5130101028981643,-0.4619664691206324,-0.0160946155365162,0.8793664798608128,0.5570154512188626,0.1247916826525095,S00050-Ja001,0.9749765720187966,1.3413329489814452
H00067-Ha001T-TRGa,-0.8790769606285321,1.1264435779163564,0.6594170365682804,-0.9835939777898812,-1.109691511831563,0.8853925926923026,H00067-Ha001,-2.0055205385448884,-2.1100375557062376
H00054-Ha001T-TRGa,-0.9873151106473982,1.0656560820162275,1.0365721355438786,-0.8296302941533678,-0.9972614409166238,1.1396744199757751,H00054-Ha001,-2.052971192663626,-1.8952863761695955
H00085-Ha001T-TRGa,-1.2155690904805478,1.0080596735664693,0.9767029628573044,-1.0694629035838383,-1.063047148122544,1.305232824705114,H00085-Ha001,-2.223628764047018,-2.0775225771503076
H00049-Ha001T-TRGa,-0.9002429970264657,0.991906498196532,0.9296890064808075,-0.102810502482068,-0.4992095755950547,0.7707735326103888,H00049-Ha001,-1.8921494952229976,-1.0947170006786
H00058-Ha001T-TRGa,-1.100985720943462,1.1776500171604918,1.0791802661878889,-0.9611196876137504,-1.0240661906768278,1.1256818141695415,H00058-Ha001,-2.2786357381039535,-2.138769704774242
H00072-Ha001T-TRGa,-1.098208836694784,0.9199703639402064,0.6454911938101338,-0.568853024953143,-1.0701135454966637,0.5169479441749227,H00072-Ha001,-2.0181792006349903,-1.4888233888933495
H00052-Ha001T-TRGa,-1.1413012813985457,1.4286034790567266,1.6171063128041994,-0.6540095061501319,-0.7921302421820057,1.029699523944667,H00052-Ha001,-2.5699047604552723,-2.0826129852068584
H00064-Ha001T-TRGa,-1.2053524188150395,0.4454139437378628,-0.036563513428683,-0.9732870630977508,-1.352453153790505,0.4197175270375978,H00064-Ha001,-1.6507663625529023,-1.4187010068356136
H00053-Ha001T-TRGa,-1.589308862504607,0.7809876627270971,0.5417855989202873,-1.3546880203283225,-1.5143167377184152,0.9480236426062564,H00053-Ha001,-2.370296525231704,-2.1356756830554193
H00070-Ha001T-TRGa,-1.4163223371664753,1.2443658369133936,1.1150402298618507,-1.2585043343204494,-1.5153094780584906,1.054419216175158,H00070-Ha001,-2.660688174079869,-2.502870171233843
N00023-Ja001T-TRGa,1.6076854406385408,-2.7451299885017573,-2.99569603957768,-0.1630071216664605,1.1470048441461922,-1.879160930705173,N00023-Ja001,4.352815429140298,2.582122866835297
N00025-Ja001T-TRGa,0.6623962966256859,-0.9019512389549486,-1.0044435755851118,0.5852348148156373,1.1928115116250555,-1.4264488668777715,N00025-Ja001,1.5643475355806344,1.487186053770586
N00027-Ja001T-TRGa,-0.3672438794261378,0.561523537946487,0.5870843879019966,0.0420070908299539,-0.3602281615583093,-0.3501412936496641,N00027-Ja001,-0.9287674173726248,-0.5195164471165331
N00028-Ja001T-TRGa,0.9458529404541046,-1.0292046424897732,-1.3376330975118684,-0.2982720937798119,0.2557540926809978,-1.7460459233161216,N00028-Ja001,1.9750575829438777,0.7309325487099612
N00029-Ja001T-TRGa,1.4370769349506036,-1.0030057626206643,-0.9253415835617872,0.4109507075000257,0.9388772687564776,-0.961586562788682,N00029-Ja001,2.4400826975712677,1.41395647012069
N00029-Ja005T-TRGa,-0.0895229007529628,0.089079423945765,-0.1379837797360784,-0.1480894585580234,-0.1279883678149446,-0.5928307103586835,N00029-Ja005,-0.1786023246987279,-0.2371688825037885
N00032-Ja001T-TRGa,0.2739333858179982,1.4878665357254024,1.557933183963595,0.5183380270594942,0.3732002640299922,0.3637007820564716,N00032-Ja001,-1.2139331499074042,-0.9695285086659082
N00033-Ja001T-TRGa,0.7105039525352809,-0.2870494293382953,-0.7089228726030844,0.9410982670140842,0.6976567452299981,-0.2407626465937945,N00033-Ja001,0.9975533818735762,1.2281476963523794
N00034-Ja001T-TRGa,1.5889187925513966,-1.4995315211582665,-1.591549678428768,0.4414349766547676,1.4541381050620843,-1.7525105799360363,N00034-Ja001,3.0884503137096626,1.940966497813034
N00037-Ja003T-TRGa,0.3609024837357135,-1.30403812802832,-1.2095709321273729,0.5101434783942689,0.7583153545286188,-0.5423699101070318,N00037-Ja003,1.6649406117640335,1.8141816064225889
N00038-Ja001T-TRGa,0.4254080830207741,0.7466060084735531,0.6996203027727139,0.4673496377076788,0.3431317086647937,0.0274584197114003,N00038-Ja001,-0.321197925452779,-0.2792563707658743
N00047-Ja005T-TRGa,0.7477825994464652,-0.9803034222105516,-0.6131591336249456,0.2778159648198229,-0.2188740905095405,-0.8004933202627358,N00047-Ja005,1.7280860216570169,1.2581193870303746
N00048-Ja001T-TRGa,1.0240940219835488,0.1762180416664625,0.3003468567758882,0.5960662533645047,0.9229632087095332,-0.5404830847404916,N00048-Ja001,0.8478759803170863,0.4198482116980421
N00035-Ja001T-TRGa,0.4168247434587844,-0.2183193936571434,-0.0718381366688511,0.7040116719234963,0.9058319157279826,-0.097876113563529,N00035-Ja001,0.6351441371159278,0.9223310655806396
N00036-Ja001T-TRGa,-0.0636464966867055,0.3856946347354623,0.0725657854729788,0.34223783703284,-0.040183565942976,0.1864206940569989,N00036-Ja001,-0.4493411314221679,-0.0434567977026223
