analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_double_fraction,129,-0.5062052772808587,1.0218666911041687e-08,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,5.829498732517881e-07,exploratory
all_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_abundance_normalized,129,0.4091961091234348,3.665045975044279e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,4.0793555200492846e-05,exploratory
all_unadjusted,spearman_rank,six_gene_panel,cd3_cd14_hmean_enrichment_exclusive,129,-0.18037231663685155,0.04128266329967445,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.09972591752150228,exploratory
all_unadjusted,spearman_rank,six_gene_panel,double_event_hla_dr_pos_fraction,128,0.12230692522703383,0.16810171882055183,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.27604180254082866,exploratory
all_unadjusted,spearman_rank,six_gene_panel,double_event_cd33_pos_fraction,128,0.2614635461783909,0.0032134615510399727,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.01713846160554652,exploratory
all_unadjusted,spearman_rank,six_gene_panel,double_event_cd11c_pos_fraction,128,0.12411956084245428,0.16188604090761693,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.27372611397424884,exploratory
all_unadjusted,spearman_rank,six_gene_panel,double_event_cd16_pos_fraction,128,0.06817339163020161,0.44232376100834336,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.5571038823942349,exploratory
all_unadjusted,spearman_rank,six_gene_panel,double_event_cd38_pos_fraction,128,0.2424144448888899,0.006297559206548583,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.028788842087079238,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_double_fraction,129,0.4509503577817532,3.3622329103664895e-07,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,5.379572656586383e-06,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_abundance_normalized,129,-0.40501453488372097,4.6007345687732325e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,4.907450206691448e-05,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,cd3_cd14_hmean_enrichment_exclusive,129,0.1107558139534884,0.21018423798110372,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3221985923542668,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_hla_dr_pos_fraction,128,-0.18719576013501038,0.03489376584503956,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.09005926937662767,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd33_pos_fraction,128,-0.2605042998727023,0.0033275913862213674,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.01738496724229939,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd11c_pos_fraction,128,-0.01720568782031474,0.8462555505508735,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.8735541166976759,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd16_pos_fraction,128,-0.0064578224589747005,0.9419843988883124,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.9456784553545411,exploratory
all_unadjusted,spearman_rank,mhcii_cd74_axis,double_event_cd38_pos_fraction,128,-0.22319732226145353,0.01189290834701758,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.044124413577340586,exploratory
all_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_double_fraction,129,0.3633441413237925,3.9434237229999434e-05,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0003481091286510295,exploratory
all_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_abundance_normalized,129,-0.39688059033989276,7.115923300602628e-06,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,6.884425149783893e-05,exploratory
all_unadjusted,spearman_rank,hla_dr_core,cd3_cd14_hmean_enrichment_exclusive,129,0.04442643112701253,0.615226056432951,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.7085980962504798,exploratory
