analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,cd3_cd14_double_fraction,129,-0.2073362432378255,0.0214782550993506,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0667137867145168,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,cd3_cd14_abundance_normalized,129,0.3292281873398012,0.00026089873668,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0020239417148509,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,cd3_cd14_hmean_enrichment_exclusive,129,0.0487248838597553,0.5889314790072073,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.697992864008542,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,double_event_hla_dr_pos_fraction,128,0.0372585519102511,0.6806809006703872,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.7576274372679093,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,double_event_cd33_pos_fraction,128,0.2015962131579695,0.0259671328806935,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0722563697549733,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,double_event_cd11c_pos_fraction,128,0.1586537592217684,0.0797071053112045,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1658944630867347,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,double_event_cd16_pos_fraction,128,0.1142341169201595,0.2070362171024409,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.3192847685435234,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,six_gene_panel,double_event_cd38_pos_fraction,128,0.2064993092669321,0.022556766864236,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0674477379903325,supporting_if_replicated
all_group_residualized,spearman_rank_residualized_on_analysis_group,mhcii_cd74_axis,cd3_cd14_double_fraction,129,0.1537594241549001,0.0881432398508286,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.1762864797016572,exploratory
all_group_residualized,spearman_rank_residualized_on_analysis_group,mhcii_cd74_axis,cd3_cd14_abundance_normalized,129,-0.3178411183100742,0.0004234371912492,COVID_CRIT;COVID_MILD;COVID_SEV;HV;Sepsis,0.0030971405988517,supporting_if_replicated
