accession,n_samples,retained_genes_after_excluding_overlap_prone,excluded_overlap_prone_genes,target_axis,overlap_excluded_rho,permutation_p_two_sided,original_six_gene_rho,direction_preserved_vs_original,random_seed,n_permutations,claim_boundary,source_matrix_read_only,bh_fdr
GSE134347,215,RETN;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.2900637542563211,9.999000099990002e-05,-0.326375908618899,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE134347/expression_gene_median_GSE134347.csv.gz,0.00015554000155540003
GSE134347,215,RETN;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.24519186650245114,0.00019998000199980003,-0.293343234562535,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE134347/expression_gene_median_GSE134347.csv.gz,0.00027997200279972006
GSE154918,51,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.5596380090497738,9.999000099990002e-05,-0.625610859728507,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE154918/expression_gene_median_GSE154918.csv.gz,0.00015554000155540003
GSE154918,51,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.5462443438914028,9.999000099990002e-05,-0.615203619909502,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE154918/expression_gene_median_GSE154918.csv.gz,0.00015554000155540003
GSE28750,21,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.7233766233766233,0.0004999500049995,-0.703896103896104,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE28750/expression_gene_median_GSE28750.csv.gz,0.0006363000063630001
GSE28750,21,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.6688311688311688,0.0012998700129987,-0.615584415584416,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE28750/expression_gene_median_GSE28750.csv.gz,0.00151651501516515
GSE32707,69,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.155681402995981,0.19988001199880012,-0.20383631713555,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE32707/expression_gene_median_GSE32707.csv.gz,0.21525539753716938
GSE32707,69,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.015637559371574718,0.8979102089791021,-0.0575447570332481,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE32707/expression_gene_median_GSE32707.csv.gz,0.8979102089791021
GSE54514,35,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.7327731092436974,9.999000099990002e-05,-0.599439775910364,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE54514/expression_gene_median_GSE54514.csv.gz,0.00015554000155540003
GSE54514,35,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.7235294117647059,9.999000099990002e-05,-0.587394957983193,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE54514/expression_gene_median_GSE54514.csv.gz,0.00015554000155540003
GSE65682,225,RETN;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.4259629161399073,9.999000099990002e-05,-0.499166666666667,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE65682/expression_gene_median_GSE65682.csv.gz,0.00015554000155540003
GSE65682,225,RETN;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.3936841550779604,9.999000099990002e-05,-0.466748841129372,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE65682/expression_gene_median_GSE65682.csv.gz,0.00015554000155540003
GSE69063,44,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,mhcii_cd74_axis,-0.678646934460888,9.999000099990002e-05,-0.763918252290345,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE69063/expression_gene_median_GSE69063.csv.gz,0.00015554000155540003
GSE69063,44,RETN;MCEMP1;CYP1B1,S100A8;S100A12;HK3,hla_dr_core,-0.6407329105003524,9.999000099990002e-05,-0.752360817477097,True,20260630,10000,circularity audit only; retained genes are not introduced as a new panel,<READ_ONLY_TRANSCRIPTOMICS_REFERENCE_ROOT>/01_data/processed/bulk/GSE69063/expression_gene_median_GSE69063.csv.gz,0.00015554000155540003
