pair,removed_accession,n_datasets_retained,median_rho,direction_consistency_fraction,fdr_lt_0_10_count,nominal_p_lt_0_05_count,claim_boundary
ifn_vs_mhcii,NONE,7,0.547894177594243,1.0,7,7,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE134347,6,0.580092812038244,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE154918,6,0.516279579315453,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE28750,6,0.516279579315453,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE32707,6,0.516279579315453,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE54514,6,0.6117074103170339,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE65682,6,0.6117074103170339,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
ifn_vs_mhcii,GSE69063,6,0.6117074103170339,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,NONE,7,0.793270122208175,1.0,7,7,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE134347,6,0.7836480481170744,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE154918,6,0.7836480481170744,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE28750,6,0.793784382371056,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE32707,6,0.793784382371056,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE54514,6,0.793784382371056,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE65682,6,0.7841623082799555,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
immunometabolic_vs_myeloid,GSE69063,6,0.7836480481170744,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,NONE,7,-0.474314762491246,1.0,7,7,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE134347,6,-0.540094219505984,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
