accession,signature,n_case,n_control,case_median,control_median,median_diff_case_minus_control,p_value,direction,FDR,effect,signature_label,x,y,cohort_label,fdr_sig
GSE134347,interferon_antigen_presentation,156,59,-0.304452350462721,-0.126476477612779,-0.177975872849942,0.0464520627865608,DOWN_IN_CASE,0.140362167087068,-0.177975872849942,IFN/AP,1,1,GSE134347,FALSE
GSE154918,interferon_antigen_presentation,39,12,-0.273240686872846,0.224264879311591,-0.497505566184437,0.174328274346978,DOWN_IN_CASE,0.261492411520467,-0.497505566184437,IFN/AP,2,1,GSE154918,FALSE
GSE65682,interferon_antigen_presentation,192,33,-0.203176361836573,2.913757692e-4,-0.203467737605773,0.070181083543534,DOWN_IN_CASE,0.140362167087068,-0.203467737605773,IFN/AP,3,1,GSE65682,FALSE
GSE32707,interferon_antigen_presentation,48,21,-0.239033017281724,-0.0926790660169684,-0.146353951264756,0.38874821228453,DOWN_IN_CASE,0.38874821228453,-0.146353951264756,IFN/AP,4,1,GSE32707,FALSE
GSE69063,interferon_antigen_presentation,19,25,-0.361295993099442,0.173424202847647,-0.534720195947088,0.268474160234527,DOWN_IN_CASE,0.322168992281432,-0.534720195947088,IFN/AP,5,1,GSE69063,FALSE
GSE28750,interferon_antigen_presentation,10,11,-0.461711813727884,0.0248676585866738,-0.486579472314557,0.0513444244094399,DOWN_IN_CASE,0.140362167087068,-0.486579472314557,IFN/AP,6,1,GSE28750,FALSE
GSE134347,adaptive_t_cell_context,156,59,-0.262951363649563,0.428344587538409,-0.691295951187972,1.77656108106279e-6,DOWN_IN_CASE,5.32968324318838e-6,-0.691295951187972,Adaptive/T-cell,1,2,GSE134347,TRUE
GSE154918,adaptive_t_cell_context,39,12,-0.165143295620425,0.336285723438464,-0.501429019058889,0.153893639420168,DOWN_IN_CASE,0.230840459130253,-0.501429019058889,Adaptive/T-cell,2,2,GSE154918,FALSE
GSE65682,adaptive_t_cell_context,192,33,-0.173019041098759,0.45124658583923,-0.624265626937989,1.766217536984e-4,DOWN_IN_CASE,3.532435073968e-4,-0.624265626937989,Adaptive/T-cell,3,2,GSE65682,TRUE
GSE32707,adaptive_t_cell_context,48,21,-0.144673925306955,-0.168728815677179,0.0240548903702241,0.591122872476782,UP_IN_CASE,0.591122872476782,0.0240548903702241,Adaptive/T-cell,4,2,GSE32707,FALSE
