accession,pair,signature_x,signature_y,rho,p_value,n,FDR,target_axis,direction_preserved,fdr_sig,accession_factor
GSE32707,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.20383631713555,0.0929676500448238,69,0.0929676500448238,MHC-II/CD74,TRUE,FALSE,GSE32707
GSE134347,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.326375908618899,9.9641276472838e-7,215,1.74372233827466e-6,MHC-II/CD74,TRUE,TRUE,GSE134347
GSE65682,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.499166666666667,1.4011366660994801e-15,225,9.80795666269638e-15,MHC-II/CD74,TRUE,TRUE,GSE65682
GSE54514,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.599439775910364,1.416425110131e-4,35,1.982995154183e-4,MHC-II/CD74,TRUE,TRUE,GSE54514
GSE154918,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.625610859728507,9.16764073444101e-7,51,1.74372233827466e-6,MHC-II/CD74,TRUE,TRUE,GSE154918
GSE28750,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.703896103896104,3.695218227234e-4,21,4.311087931773e-4,MHC-II/CD74,TRUE,TRUE,GSE28750
GSE69063,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.763918252290345,1.61529297880189e-9,44,5.6535254258066105e-9,MHC-II/CD74,TRUE,TRUE,GSE69063
GSE32707,six_vs_hladr,six_gene_panel,hla_dr_core,-0.0575447570332481,0.638598239578191,69,0.638598239578191,HLA-DR,TRUE,FALSE,GSE32707
GSE134347,six_vs_hladr,six_gene_panel,hla_dr_core,-0.293343234562535,1.22682711358133e-5,215,2.14694744876732e-5,HLA-DR,TRUE,TRUE,GSE134347
GSE65682,six_vs_hladr,six_gene_panel,hla_dr_core,-0.466748841129372,1.42267356204748e-13,225,9.95871493433236e-13,HLA-DR,TRUE,TRUE,GSE65682
GSE54514,six_vs_hladr,six_gene_panel,hla_dr_core,-0.587394957983193,2.074801341158e-4,35,2.904721877622e-4,HLA-DR,TRUE,TRUE,GSE54514
GSE154918,six_vs_hladr,six_gene_panel,hla_dr_core,-0.615203619909502,1.55701999815531e-6,51,3.63304666236239e-6,HLA-DR,TRUE,TRUE,GSE154918
GSE28750,six_vs_hladr,six_gene_panel,hla_dr_core,-0.615584415584416,0.0029716265168021,21,0.0034668976029358,HLA-DR,TRUE,TRUE,GSE28750
GSE69063,six_vs_hladr,six_gene_panel,hla_dr_core,-0.752360817477097,3.89339627168138e-9,44,1.36268869508848e-8,HLA-DR,TRUE,TRUE,GSE69063
