accession,pair,signature_x,signature_y,rho,p_value,n,FDR
GSE154918,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.625610859728507,9.16764073444101e-07,51,1.74372233827466e-06
GSE154918,six_vs_hladr,six_gene_panel,hla_dr_core,-0.615203619909502,1.55701999815531e-06,51,3.63304666236239e-06
GSE134347,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.326375908618899,9.9641276472838e-07,215,1.74372233827466e-06
GSE134347,six_vs_hladr,six_gene_panel,hla_dr_core,-0.293343234562535,1.22682711358133e-05,215,2.14694744876732e-05
GSE65682,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.499166666666667,1.4011366660994801e-15,225,9.80795666269638e-15
GSE65682,six_vs_hladr,six_gene_panel,hla_dr_core,-0.466748841129372,1.42267356204748e-13,225,9.95871493433236e-13
GSE32707,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.20383631713555,0.0929676500448238,69,0.0929676500448238
GSE32707,six_vs_hladr,six_gene_panel,hla_dr_core,-0.0575447570332481,0.638598239578191,69,0.638598239578191
GSE69063,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.763918252290345,1.61529297880189e-09,44,5.6535254258066105e-09
GSE69063,six_vs_hladr,six_gene_panel,hla_dr_core,-0.752360817477097,3.89339627168138e-09,44,1.36268869508848e-08
GSE28750,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.703896103896104,0.0003695218227234,21,0.0004311087931773
GSE28750,six_vs_hladr,six_gene_panel,hla_dr_core,-0.615584415584416,0.0029716265168021,21,0.0034668976029358
GSE54514,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.599439775910364,0.0001416425110131,35,0.0001982995154183
GSE54514,six_vs_hladr,six_gene_panel,hla_dr_core,-0.587394957983193,0.0002074801341158,35,0.0002904721877622
