accession,target_axis,observed_six_gene_rho,n_random_signatures,random_rho_median,random_rho_q025,random_rho_q975,empirical_p_observed_as_or_more_negative,observed_below_random_q025,claim_boundary
GSE134347,mhcii_cd74_axis_random_gene_count_matched,-0.3263759086188992,300,-0.1724649230843536,-0.480190025115313,0.3726193581105556,0.1727574750830564,0,random signature specificity sensitivity; does not prove pathway causality
GSE134347,hla_dr_core_random_gene_count_matched,-0.2933432345625347,300,-0.1321506194305585,-0.5059591513922094,0.3535629633654513,0.1926910299003322,0,random signature specificity sensitivity; does not prove pathway causality
GSE154918,mhcii_cd74_axis_random_gene_count_matched,-0.6256108597285067,300,0.0152941176470588,-0.5912058823529412,0.6190090497737555,0.0199335548172757,1,random signature specificity sensitivity; does not prove pathway causality
GSE154918,hla_dr_core_random_gene_count_matched,-0.6152036199095023,300,-0.0066515837104072,-0.6215475113122172,0.606819004524886,0.0332225913621262,0,random signature specificity sensitivity; does not prove pathway causality
GSE28750,mhcii_cd74_axis_random_gene_count_matched,-0.7038961038961039,300,-0.1064935064935064,-0.6528896103896104,0.4986038961038955,0.0166112956810631,1,random signature specificity sensitivity; does not prove pathway causality
GSE28750,hla_dr_core_random_gene_count_matched,-0.6155844155844156,300,-0.125974025974026,-0.6582792207792207,0.622110389610389,0.0365448504983388,0,random signature specificity sensitivity; does not prove pathway causality
GSE32707,mhcii_cd74_axis_random_gene_count_matched,-0.2038363171355499,300,-0.0304165144318597,-0.4138390573620753,0.3529649251004749,0.1960132890365448,0,random signature specificity sensitivity; does not prove pathway causality
GSE32707,hla_dr_core_random_gene_count_matched,-0.057544757033248,300,-0.0215929850200949,-0.3244629156010231,0.3743761417610523,0.4119601328903654,0,random signature specificity sensitivity; does not prove pathway causality
GSE54514,mhcii_cd74_axis_random_gene_count_matched,-0.5994397759103641,300,0.0012605042016806,-0.5157142857142857,0.532422969187675,0.0099667774086378,1,random signature specificity sensitivity; does not prove pathway causality
GSE54514,hla_dr_core_random_gene_count_matched,-0.5873949579831933,300,-0.0252100840336134,-0.5500070028011205,0.5236344537815124,0.0166112956810631,1,random signature specificity sensitivity; does not prove pathway causality
GSE65682,mhcii_cd74_axis_random_gene_count_matched,-0.4991666666666667,300,0.0340286557100716,-0.4114176411715129,0.4812904551201009,0.0066445182724252,1,random signature specificity sensitivity; does not prove pathway causality
GSE65682,hla_dr_core_random_gene_count_matched,-0.4667488411293722,300,0.0651201011378002,-0.4195483038348083,0.5260043721028235,0.0166112956810631,1,random signature specificity sensitivity; does not prove pathway causality
GSE69063,mhcii_cd74_axis_random_gene_count_matched,-0.7639182522903454,300,0.0976039464411557,-0.6247427766032416,0.628752642706131,0.0066445182724252,1,random signature specificity sensitivity; does not prove pathway causality
GSE69063,hla_dr_core_random_gene_count_matched,-0.7523608174770965,300,0.0961945031712473,-0.6445137420718816,0.6625334742776601,0.0033222591362126,1,random signature specificity sensitivity; does not prove pathway causality
