accession,gsm_id,immune_state,PC1_immune_decoupling_gradient,PC2,PC3
GSE154918,GSM4683537,Decoupled inflammatory / MHC-II-low,3.4546097160772073,0.0814567069977613,-0.5507728421387281
GSE154918,GSM4683541,Decoupled inflammatory / MHC-II-low,3.786285782335059,0.143829860840742,-0.5835223324330928
GSE154918,GSM4683544,Decoupled inflammatory / MHC-II-low,1.3005962845594266,0.6949217052827426,-0.4817618383728785
GSE154918,GSM4683545,Decoupled inflammatory / MHC-II-low,1.7163440398551848,-0.8024019190176211,-0.1883710295200916
GSE154918,GSM4683547,Decoupled inflammatory / MHC-II-low,0.2782853660333791,0.6952752851700794,0.2432268226959137
GSE154918,GSM4683549,Decoupled inflammatory / MHC-II-low,3.6831504667039185,-0.08905259018357,0.3724873468986281
GSE154918,GSM4683553,Decoupled inflammatory / MHC-II-low,2.5276110253248647,-0.4256018840421999,-0.7950970667787672
GSE154918,GSM4683555,Decoupled inflammatory / MHC-II-low,4.746223154820141,-0.4551069486700759,0.0625685893696606
GSE154918,GSM4683558,Decoupled inflammatory / MHC-II-low,0.5060903675821945,0.2006346710948669,-1.034323139875284
GSE154918,GSM4683560,Decoupled inflammatory / MHC-II-low,3.331872021657938,-0.944286447906132,-0.2003657807926881
GSE154918,GSM4683564,Decoupled inflammatory / MHC-II-low,0.8879838571135243,0.1577586287489071,0.0644878205060502
GSE154918,GSM4683565,Decoupled inflammatory / MHC-II-low,0.2778634032091788,0.3689886029863814,-0.9790565042749272
GSE154918,GSM4683580,Decoupled inflammatory / MHC-II-low,1.098572594791821,-0.0502886266904617,-0.5076874605430065
GSE154918,GSM4683581,Decoupled inflammatory / MHC-II-low,1.165977604505665,-0.2626107414902782,-1.1785582980104636
GSE154918,GSM4683588,Decoupled inflammatory / MHC-II-low,0.9977848997178944,2.163006637478907,1.5937978237859112
GSE154918,GSM4683591,Decoupled inflammatory / MHC-II-low,4.265275762047395,-0.3152054602786456,0.2138852698849656
GSE154918,GSM4683598,Decoupled inflammatory / MHC-II-low,2.475973656102097,-1.190821090403163,-0.6881232601848365
GSE154918,GSM4683613,Decoupled inflammatory / MHC-II-low,2.3331800313165827,1.9628155961790403,0.692558780420625
GSE134347,GSM3942707,Decoupled inflammatory / MHC-II-low,1.486916155407357,-0.0614455500315332,-0.194659364718617
GSE134347,GSM3942710,Decoupled inflammatory / MHC-II-low,1.4494064986828803,0.4117820107933294,-0.0802625884282275
GSE134347,GSM3942711,Decoupled inflammatory / MHC-II-low,0.2677313872889263,0.5216677139065107,-0.3408077474267946
GSE134347,GSM3942714,Decoupled inflammatory / MHC-II-low,3.065141791672733,-1.104974899441593,-0.3043352697719448
GSE134347,GSM3942715,Decoupled inflammatory / MHC-II-low,2.521662063213985,0.420619419357798,-0.2940278482495084
GSE134347,GSM3942717,Decoupled inflammatory / MHC-II-low,0.7122726833726344,0.9242566406522408,-0.6127310124963314
GSE134347,GSM3942718,Decoupled inflammatory / MHC-II-low,0.9405992537322486,-0.2763349166064152,-0.3189787452269551
GSE134347,GSM3942719,Decoupled inflammatory / MHC-II-low,2.8191973872953806,0.4391415331234471,-1.221335253749555
GSE134347,GSM3942720,Decoupled inflammatory / MHC-II-low,0.0412947760199697,0.3865370952633037,-0.7235987210798103
GSE134347,GSM3942721,Decoupled inflammatory / MHC-II-low,2.779184079735649,1.372236969045424,-0.3267216893898763
GSE134347,GSM3942722,Decoupled inflammatory / MHC-II-low,0.987093106544638,-0.5649497895286998,-0.2347774973468919
GSE134347,GSM3942724,Decoupled inflammatory / MHC-II-low,1.996497393055391,-0.5184725357243039,0.1181952310639051
GSE134347,GSM3942725,Decoupled inflammatory / MHC-II-low,0.1962108462870867,1.763421818209676,-0.7677951493576624
