panel,pair_source,pair_display,rna_metric,rna_metric_label,rna_metric_label_one_line,flow_metric,n_rows,n_participants,spearman_rho,abs_rho,permutation_p_two_sided,bh_fdr_within_all_pair_metric_family,significance_marker,source_table,cd3_cd14_row
A,CD14/CD16,CD14/CD16,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.29962476547842404,0.29962476547842404,0.07258548290341932,0.18792679820200345,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD16,CD14/CD16,mhcii_cd74_axis,"MHC-II
/CD74",MHC-II/CD74,raw_fcs_abundance_normalized,40,34,-0.2975609756097561,0.2975609756097561,0.0595880823835233,0.15479369879448768,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD16,CD14/CD16,rna_decoupling_index_six_minus_mhcii,"RNA decoupling
index",RNA decoupling index,raw_fcs_abundance_normalized,40,34,0.39587242026266417,0.39587242026266417,0.01059788042391521,0.05563887222555489,permutation p<0.05,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD4,CD4/CD14,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.33377110694183865,0.33377110694183865,0.03499300139972006,0.12362013578592693,permutation p<0.05,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD4,CD4/CD14,mhcii_cd74_axis,"MHC-II
/CD74",MHC-II/CD74,raw_fcs_abundance_normalized,40,34,-0.3577861163227017,0.3577861163227017,0.02239552089582083,0.07911688690299323,permutation p<0.05,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD4,CD4/CD14,rna_decoupling_index_six_minus_mhcii,"RNA decoupling
index",RNA decoupling index,raw_fcs_abundance_normalized,40,34,0.37523452157598497,0.37523452157598497,0.01679664067186562,0.06977066125236492,permutation p<0.05,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD3/CD14,CD3/CD14,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.30656660412757974,0.30656660412757974,0.0613877224555089,0.1706217580013409,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,TRUE
A,CD3/CD14,CD3/CD14,mhcii_cd74_axis,"MHC-II
/CD74",MHC-II/CD74,raw_fcs_abundance_normalized,40,34,-0.30150093808630396,0.30150093808630396,0.05518896220755848,0.14795338804579508,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,TRUE
A,CD3/CD14,CD3/CD14,rna_decoupling_index_six_minus_mhcii,"RNA decoupling
index",RNA decoupling index,raw_fcs_abundance_normalized,40,34,0.3028142589118199,0.3028142589118199,0.05318936212757448,0.13865916471878037,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,TRUE
A,CD14/CD19,CD19/CD14,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.15094516644965317,0.15094516644965317,0.3535292941411718,0.5400661803123247,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD19,CD19/CD14,mhcii_cd74_axis,"MHC-II
/CD74",MHC-II/CD74,raw_fcs_abundance_normalized,40,34,-0.20057225970749437,0.20057225970749437,0.2113577284543091,0.3747456116253385,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD19,CD19/CD14,rna_decoupling_index_six_minus_mhcii,"RNA decoupling
index",RNA decoupling index,raw_fcs_abundance_normalized,40,34,0.24335100172181495,0.24335100172181495,0.131373725254949,0.25999616830560585,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD8,CD8/CD14,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.2150093808630394,0.2150093808630394,0.1799640071985603,0.3541580343725069,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD8,CD8/CD14,mhcii_cd74_axis,"MHC-II
/CD74",MHC-II/CD74,raw_fcs_abundance_normalized,40,34,-0.16622889305816135,0.16622889305816135,0.3057388522295541,0.4755937701348619,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD8,CD8/CD14,rna_decoupling_index_six_minus_mhcii,"RNA decoupling
index",RNA decoupling index,raw_fcs_abundance_normalized,40,34,0.16266416510318948,0.16266416510318948,0.32013597280543893,0.4959105739827645,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
A,CD14/CD56,CD56/CD14,hla_dr_core,"HLA-DR
core",HLA-DR core,raw_fcs_abundance_normalized,40,34,-0.03958724202626641,0.03958724202626641,0.8198360327934413,0.8956590184853203,,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv,FALSE
