analysis_scope,pair,rna_metric,flow_metric,n_rows,n_participants,spearman_rho,permutation_p_two_sided,bh_fdr_within_all_pair_metric_family,permutation_null_median,permutation_null_q025,permutation_null_q975,n_permutations,claim_boundary,panel,rna_metric_label,abs_rho,source_table
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD103,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.3697936210131332,0.01799640071985602,0.09448110377924417,-0.00328330206378986,-0.3203330206378987,0.29650093808630396,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.3697936210131332,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD123,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.14090056285178237,0.3879224155168966,0.5660211469156551,0.00544090056285178,-0.34621482176360224,0.344939024390244,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.14090056285178237,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD141,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.10375234521575984,0.5280943811237753,0.7004199160167967,0.00347091932457786,-0.32636022514071295,0.33236866791744846,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.10375234521575984,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD25,hla_dr_core,raw_fcs_abundance_normalized,40,34,0.01651031894934334,0.9166166766646672,0.9619324753833765,0.00225140712945591,-0.3302673545966229,0.315,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.01651031894934334,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD39,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.424390243902439,0.00759848030393921,0.06111118201891536,-0.00769230769230769,-0.3130300187617261,0.3041041275797373,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.424390243902439,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD57,hla_dr_core,raw_fcs_abundance_normalized,39,34,-0.45777907556257336,0.003999200159968,0.0609555508253188,-0.00263091422737111,-0.33660111507521356,0.3334245297488322,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.45777907556257336,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD66,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.4049540322753447,0.01059788042391521,0.07028068070596408,4.6913117733473e-4,-0.33710359009742175,0.27914243313771503,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.4049540322753447,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CD69,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.4080675422138837,0.00719856028794241,0.06111118201891536,-0.01848030018761726,-0.31979362101313324,0.2976829268292684,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.4080675422138837,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CCR7/CX3CR1,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.3590994371482176,0.02339532093581283,0.10370949066000754,-0.00844277673545966,-0.3326829268292683,0.329971857410882,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.3590994371482176,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
Sepsis-only matched raw FCS all-pair marker null,CD11c/CCR7,hla_dr_core,raw_fcs_abundance_normalized,40,34,-0.2851782363977486,0.07238552289542091,0.18792679820200345,-0.01116322701688555,-0.3482926829268293,0.3084240150093809,5000,all-pair raw-FCS marker-pair null; pair specificity sensitivity only,B,HLA-DR core,0.2851782363977486,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_all_pair_null_correlation_summary.csv
