panel,row_type,pair,rna_metric,rna_metric_label,spearman_rho,abs_rho,n_rows,n_participants,source_table
C,abundance-matched control,CD14/CD8,hla_dr_core,HLA-DR core,-0.2150093808630394,0.2150093808630394,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD14/CD8,mhcii_cd74_axis,MHC-II/CD74,-0.16622889305816135,0.16622889305816135,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD14/CD8,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.16266416510318948,0.16266416510318948,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD141,hla_dr_core,HLA-DR core,-0.1529080675422139,0.1529080675422139,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD141,mhcii_cd74_axis,MHC-II/CD74,-0.21350844277673545,0.21350844277673545,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD141,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.18855534709193245,0.18855534709193245,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CX3CR1,hla_dr_core,HLA-DR core,-0.21163227016885552,0.21163227016885552,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CX3CR1,mhcii_cd74_axis,MHC-II/CD74,-0.25365853658536586,0.25365853658536586,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CX3CR1,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.16266416510318948,0.16266416510318948,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CD141,hla_dr_core,HLA-DR core,-0.04878048780487805,0.04878048780487805,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CD141,mhcii_cd74_axis,MHC-II/CD74,-0.08273921200750468,0.08273921200750468,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD4/CD141,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.08086303939962476,0.08086303939962476,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD14/CD28,hla_dr_core,HLA-DR core,-0.6345215759849906,0.6345215759849906,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD14/CD28,mhcii_cd74_axis,MHC-II/CD74,-0.626641651031895,0.626641651031895,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD14/CD28,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.5363977485928706,0.5363977485928706,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD19/CCR7,hla_dr_core,HLA-DR core,-0.28424015009380865,0.28424015009380865,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD19/CCR7,mhcii_cd74_axis,MHC-II/CD74,-0.13621013133208254,0.13621013133208254,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD19/CCR7,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,0.09793621013133208,0.09793621013133208,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD123,hla_dr_core,HLA-DR core,0.0123827392120075,0.0123827392120075,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD123,mhcii_cd74_axis,MHC-II/CD74,-0.03414634146341464,0.03414634146341464,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD27/CD123,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,-0.02514071294559099,0.02514071294559099,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
C,abundance-matched control,CD141/CX3CR1,hla_dr_core,HLA-DR core,0.15010084917305472,0.15010084917305472,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_abundance_matched_pair_controls.csv
