panel,sensitivity_type,pair,rna_metric,rho,rho_q025,rho_q975,n_rows,n_participants,source_table,rna_metric_label,sensitivity_label,expected_direction_preserved,direction_status
D,Downsampling,CD3/CD14,hla_dr_core,0.04937082473650781,-0.2546119970189628,0.3287450014173496,39,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_downsampling_sensitivity_summary.csv,HLA-DR core,Downsample,FALSE,Attenuated/reversed
D,QC residualization,CD3/CD14,hla_dr_core,-0.2570356472795497,NA,NA,40,34,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure4_panelD_lineage_qc_residualization.csv,HLA-DR core,QC resid.,TRUE,Expected direction
D,Lineage residualization,CD3/CD14,hla_dr_core,-0.4073170731707317,NA,NA,40,34,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure4_panelD_lineage_qc_residualization.csv,HLA-DR core,Lineage resid.,TRUE,Expected direction
D,Technical residualization,CD3/CD14,hla_dr_core,-0.2103189493433396,NA,NA,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_technical_residualization_summary.csv,HLA-DR core,Tech resid.,TRUE,Expected direction
D,Threshold perturbation,CD3/CD14,hla_dr_core,-0.20487804878048785,-0.315797373358349,-0.130234521575985,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_threshold_perturbation_summary.csv,HLA-DR core,Threshold,TRUE,Expected direction
D,Raw/unadjusted,CD3/CD14,hla_dr_core,-0.5590994371482176,NA,NA,40,34,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure4_panelD_lineage_qc_residualization.csv,HLA-DR core,Raw,TRUE,Expected direction
D,Downsampling,CD3/CD14,mhcii_cd74_axis,0.06473045120085298,-0.2339948553242291,0.3237166683643409,39,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_downsampling_sensitivity_summary.csv,MHC-II/CD74,Downsample,FALSE,Attenuated/reversed
D,QC residualization,CD3/CD14,mhcii_cd74_axis,-0.1643527204502814,NA,NA,40,34,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure4_panelD_lineage_qc_residualization.csv,MHC-II/CD74,QC resid.,TRUE,Expected direction
D,Lineage residualization,CD3/CD14,mhcii_cd74_axis,-0.3358348968105066,NA,NA,40,34,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure4_panelD_lineage_qc_residualization.csv,MHC-II/CD74,Lineage resid.,TRUE,Expected direction
D,Technical residualization,CD3/CD14,mhcii_cd74_axis,-0.1939962476547843,NA,NA,40,34,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/fcs_pair_specificity_hardening/S19_raw_fcs_technical_residualization_summary.csv,MHC-II/CD74,Tech resid.,TRUE,Expected direction
