panel,rna_metric,metric_label,sensitivity,estimate,ci_low,ci_high,n_rows,n_participants,estimate_type,expected_direction_preserved,source_table
G,mhcii_cd74_axis,MHC-II/CD74,One timepoint,-0.5825821237585943,NA,NA,34,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
G,mhcii_cd74_axis,MHC-II/CD74,Cluster rank-reg.,-0.516510318949343,-0.738414687618917,-0.2085895976446768,40,34,rank slope,TRUE,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/S16_participant_cluster_robust_rank_regression_sensitivity.csv
G,mhcii_cd74_axis,MHC-II/CD74,Cluster bootstrap,-0.5165103189493433,-0.739531021962517,-0.2025508571070275,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_cluster_bootstrap.csv
G,mhcii_cd74_axis,MHC-II/CD74,Participant-average,-0.6424751718869366,-0.8250503610125152,-0.3758940905602457,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_level_sensitivity.csv
G,mhcii_cd74_axis,MHC-II/CD74,Row-level,-0.5165103189493434,-0.7118308818551712,-0.2398837160787421,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
G,hla_dr_core,HLA-DR core,One timepoint,-0.6522536287242169,NA,NA,34,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
G,hla_dr_core,HLA-DR core,Cluster rank-reg.,-0.5590994371482175,-0.7521906795097728,-0.2794331687320954,40,34,rank slope,TRUE,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/S16_participant_cluster_robust_rank_regression_sensitivity.csv
G,hla_dr_core,HLA-DR core,Cluster bootstrap,-0.5590994371482176,-0.7559031718547311,-0.2774175202125023,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_cluster_bootstrap.csv
G,hla_dr_core,HLA-DR core,Participant-average,-0.6739495798319328,-0.8133919607193588,-0.4279876484593138,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_level_sensitivity.csv
G,hla_dr_core,HLA-DR core,Row-level,-0.5590994371482176,-0.7455206484978084,-0.2959195242266145,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
G,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,One timepoint,0.519633307868602,NA,NA,34,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
G,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,Cluster rank-reg.,0.4622889305816137,0.12212609865340984,0.7100178093059932,40,34,rank slope,TRUE,03_TRACEABLE_RESULTS/stage_outputs_tables/03_REPRODUCIBLE_RESULTS/frontiers_final_submission/S16_participant_cluster_robust_rank_regression_sensitivity.csv
G,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,Cluster bootstrap,0.4622889305816135,0.1233893087740036,0.7111297540201371,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_cluster_bootstrap.csv
G,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,Participant-average,0.59938884644767,0.3284264300804492,0.7853767367713451,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelG_participant_level_sensitivity.csv
G,rna_decoupling_index_six_minus_mhcii,RNA decoupling index,Row-level,0.4622889305816136,0.1740196740919383,0.6845174623218864,40,34,Spearman r_s,TRUE,03_TRACEABLE_RESULTS/figure_source_data_tables/03_REPRODUCIBLE_RESULTS/frontiers_v17_visual_engineering_polish/figure_source_data/Figure5_panelsBCDE_primary_robustness.csv
