pair,source_pair,rna_metric,rho
CD3/CD14,CD3/CD14,hla_dr_core,-0.3065666041275797
CD3/CD14,CD3/CD14,mhcii_cd74_axis,-0.3015009380863039
CD3/CD14,CD3/CD14,rna_decoupling_index_six_minus_mhcii,0.3028142589118199
CD14/CD16,CD14/CD16,hla_dr_core,-0.299624765478424
CD14/CD16,CD14/CD16,mhcii_cd74_axis,-0.2975609756097561
CD14/CD16,CD14/CD16,rna_decoupling_index_six_minus_mhcii,0.3958724202626641
CD4/CD14,CD14/CD4,hla_dr_core,-0.3337711069418386
CD4/CD14,CD14/CD4,mhcii_cd74_axis,-0.3577861163227017
CD4/CD14,CD14/CD4,rna_decoupling_index_six_minus_mhcii,0.3752345215759849
CD19/CD14,CD14/CD19,hla_dr_core,-0.1509451664496531
CD19/CD14,CD14/CD19,mhcii_cd74_axis,-0.2005722597074943
CD19/CD14,CD14/CD19,rna_decoupling_index_six_minus_mhcii,0.2433510017218149
CD8/CD14,CD14/CD8,hla_dr_core,-0.2150093808630394
CD8/CD14,CD14/CD8,mhcii_cd74_axis,-0.1662288930581613
CD8/CD14,CD14/CD8,rna_decoupling_index_six_minus_mhcii,0.1626641651031894
CD56/CD14,CD14/CD56,hla_dr_core,-0.0395872420262664
CD56/CD14,CD14/CD56,mhcii_cd74_axis,0.0294559099437148
CD56/CD14,CD14/CD56,rna_decoupling_index_six_minus_mhcii,-0.1020637898686679
