figure_zone,variable,display_label,value,unit,note
A_continuum,pc1_case_only_signature_variance,PC1 variance 55.9%,55.9,percent,Case-only immune-decoupling gradient variance explained.
A_continuum,decoupled_cases,221/499 cases,221,cases,Cases in decoupled inflammatory/MHC-II-low region.
A_continuum,complete_sepsis_cases,221/499 cases,499,cases,Complete sepsis-case denominator.
B_RNA,public_transcriptomic_cohorts,7 cohorts,7,cohorts,Public sepsis transcriptomic cohorts.
B_RNA,bulk_total_samples,660 samples,660,samples,Total public bulk RNA samples represented in source evidence.
B_RNA,bulk_sepsis_cases,499 sepsis cases,499,cases,Sepsis cases in bulk RNA layer.
B_RNA,host_response_panel_size,Six-gene host-response panel,6,genes,Representative host-response panel size.
B_RNA,median_spearman_mhcii_cd74,median rho approx -0.60,-0.6,Spearman rho,Median inverse coupling with MHC-II/CD74.
B_RNA,fdr_significant_cohorts_mhcii_cd74,FDR-significant 7/7 cohorts,7,cohorts,FDR-significant cohorts for MHC-II/CD74.
C_bridge,all_matched_rna_cytof_rows,129 matched rows,129,participant-timepoint rows,Matched RNA-CyTOF biological rows.
C_bridge,combat_sepsis_only_rows,40 rows,40,participant-timepoint rows,COMBAT sepsis-only matched subset.
C_bridge,combat_sepsis_participants,34 participants,34,participants,Distinct participants in COMBAT sepsis-only subset.
C_bridge,hla_dr_core_spearman,HLA-DR core rho = -0.559,-0.559,Spearman rho,Residual CD3/CD14 coevent signal versus HLA-DR core RNA.
C_bridge,hla_dr_core_permutation_p,p_perm = 0.0004,0.0004,permutation p,Permutation p-value for HLA-DR core association.
C_bridge,mhcii_cd74_spearman,MHC-II/CD74 rho = -0.517,-0.517,Spearman rho,Residual CD3/CD14 coevent signal versus MHC-II/CD74 RNA.
C_bridge,mhcii_cd74_permutation_p,p_perm = 0.0011,0.0011,permutation p,Permutation p-value for MHC-II/CD74 association.
C_bridge,rna_decoupling_index_spearman,Decoupling index rho = 0.462,0.462,Spearman rho,Residual CD3/CD14 coevent signal versus RNA decoupling index.
C_bridge,rna_decoupling_index_permutation_p,p_perm = 0.0035,0.0035,permutation p,Permutation p-value for RNA decoupling index association.
D_cytof,raw_fcs_marker_null_pairs,378-pair marker-null,378,marker pairs,Raw-FCS all-pair marker-null analysis pair count.
D_cytof,cd3_cd14_percentile_low,CD3/CD14 61.6-65.1 pct.,61.6,absolute-r percentile,Lower percentile estimate for CD3/CD14 in marker-null screen.
D_cytof,cd3_cd14_percentile_high,CD3/CD14 61.6-65.1 pct.,65.1,absolute-r percentile,Upper percentile estimate for CD3/CD14 in marker-null screen.
