supplementary_table,formal_table_files,file_count,exists,note
S1,S1_main_full_dataset_inventory.csv,1,True,formal supplementary table group
S2,S2_main_metadata_harmonization_and_inclusion_exclusion.csv,1,True,formal supplementary table group
S3,S3_coverage_signature_gene_lists_and_coverage.csv;S3_overlap_excluded_six_gene_circularity_sensitivity.csv;S3_overlap_signature_overlap_audit.csv,3,True,formal supplementary table group
S4,S4_main_bulk_case_control_signature_results.csv,1,True,formal supplementary table group
S5,S5_main_within_cohort_coupling_results.csv,1,True,formal supplementary table group
S6,S6_main_leave_one_cohort_sensitivity.csv,1,True,formal supplementary table group
S7,S7_centroids_case_only_cluster_centroids.csv;S7_counts_case_only_state_counts.csv;S7_dataset_distribution_case_only_state_dataset_distribution.csv;S7_k2_to_k5_case_only_kmeans_k2_to_k5_quality.csv;S7_stability_case_only_clustering_stability_summary.csv,5,True,formal supplementary table group
S8,S8_main_cytometry_coevent_metric_definitions_and_frequency_state_sum.csv,1,True,formal supplementary table group
S9,S9_main_cytometry_artifact_control_results.csv,1,True,formal supplementary table group
S10,S10_main_cytometry_marker_state_remodeling_results.csv,1,True,formal supplementary table group
S11,S11_main_combat_rna_sample_scoring.csv,1,True,formal supplementary table group
S12,S12_flow_combat_rna_cytof_pairing_flow.csv;S12_participant_independence_combat_rna_cytof_pairing_audit.csv;S12_participant_timepoints_combat_participant_timepoint_counts.csv,3,True,formal supplementary table group
S13,S13_main_paired_rna_cytof_main_correlations.csv,1,True,formal supplementary table group
S14,S14_main_group_residualized_sensitivity.csv,1,True,formal supplementary table group
S15,S15_main_non_healthy_and_sepsis_only_sensitivity.csv,1,True,formal supplementary table group
S16,S16_paired_robustness_paired_rna_cytof_permutation_bootstrap_robustness.csv;S16_pairing_null_raw_pairing_permutation_null_raw.csv;S16_pairing_null_summary_pairing_permutation_null_summary.csv;S16_participant_cluster_bootstrap_participant_cluster_bootstrap_sensitivity.csv;S16_participant_level_averaged_sensitivity.csv,5,True,formal supplementary table group
S17,S17_main_death28_clinical_anchor.csv,1,True,formal supplementary table group
S18,S18_main_negative_control_signatures.csv;S18_overlap_excluded_six_gene_circularity_sensitivity.csv;S18_random_signature_null_random_signature_null_summary.csv,3,True,formal supplementary table group
S19,S19_main_negative_control_marker_pair_feasibility.csv,1,True,formal supplementary table group
S20,S20_main_software_versions_and_reproducibility_manifest.csv,1,True,formal supplementary table group
S21,S21_claim_boundary_claim_boundary_matrix.csv;S21_prohibited_language_scan_prohibited_language_scan.csv,2,True,formal supplementary table group
S22,S22_main_figure_source_data_index.csv,1,True,formal supplementary table group
