reference_number,category,authors,title,journal,year,doi,pmid,pubmed_url,verification_status
1,sepsis immunoparalysis,"Hotchkiss RS, Monneret G, Payen D",Sepsis-induced immunosuppression: from cellular dysfunctions to immunotherapy.,Nature Reviews Immunology,2013,10.1038/nri3552,24232462.0,https://pubmed.ncbi.nlm.nih.gov/24232462/,PubMed_or_DOI_checked
2,sepsis immunoparalysis,"Boomer JS, To K, Chang KC, Takasu O, Osborne DF, Walton AH, et al.",Immunosuppression in patients who die of sepsis and multiple organ failure.,JAMA,2011,10.1001/jama.2011.1829,22187279.0,https://pubmed.ncbi.nlm.nih.gov/22187279/,PubMed_or_DOI_checked
3,monocyte HLA-DR,"Volk HD, Reinke P, Krausch D, Zuckermann H, Asadullah K, Müller JM, et al.",Monocyte deactivation: rationale for a new therapeutic strategy in sepsis.,Intensive Care Medicine,1996,10.1007/BF01743727,8923092.0,https://pubmed.ncbi.nlm.nih.gov/8923092/,PubMed_or_DOI_checked
4,immunotherapy context,"Kox WJ, Volk T, Kox SN, Volk HD",Immunomodulatory therapies in sepsis.,Intensive Care Medicine,2000,10.1007/s001340051129,10786969.0,https://pubmed.ncbi.nlm.nih.gov/10786969/,PubMed_or_DOI_checked
5,immunotherapy context,"Leentjens J, Kox M, Koch RM, Preijers F, Joosten LA, van der Hoeven JG, et al.","Reversal of immunoparalysis in humans in vivo: a double-blind, placebo-controlled, randomized pilot study.",American Journal of Respiratory and Critical Care Medicine,2012,10.1164/rccm.201204-0645OC,22822024.0,https://pubmed.ncbi.nlm.nih.gov/22822024/,PubMed_or_DOI_checked
6,monocyte HLA-DR,"Samuelsen A, Lehman E, Burrows P, Bonavia AS",Time-dependent variation in immunoparalysis biomarkers among patients with sepsis and critical illness.,Frontiers in Immunology,2024,10.3389/fimmu.2024.1498974,39712015.0,https://pubmed.ncbi.nlm.nih.gov/39712015/,PubMed_or_DOI_checked
7,MHC-II RNA,"Pachot A, Monneret G, Brion A, Venet F, Bohé J, Bienvenu J, et al.",Messenger RNA expression of major histocompatibility complex class II genes in whole blood from septic shock patients.,Critical Care Medicine,2005,10.1097/01.ccm.0000150958.20209.a3,15644645.0,https://pubmed.ncbi.nlm.nih.gov/15644645/,PubMed_or_DOI_checked
8,CD74 RNA,"Cazalis MA, Friggeri A, Cavé L, Demaret J, Barbalat V, Cerrato E, et al.",Decreased HLA-DR antigen-associated invariant chain (CD74) mRNA expression predicts mortality after septic shock.,Critical Care,2013,10.1186/cc13150,24321376.0,https://pubmed.ncbi.nlm.nih.gov/24321376/,PubMed_or_DOI_checked
9,monocyte HLA-DR,"Joshi I, Carney WP, Rock EP",Utility of monocyte HLA-DR and rationale for therapeutic GM-CSF in sepsis immunoparalysis.,Frontiers in Immunology,2023,10.3389/fimmu.2023.1130214,36825018.0,https://pubmed.ncbi.nlm.nih.gov/36825018/,PubMed_or_DOI_checked
10,sepsis transcriptomic endotypes,"Davenport EE, Burnham KL, Radhakrishnan J, Humburg P, Hutton P, Mills TC, et al.",Genomic landscape of the individual host response and outcomes in sepsis: a prospective cohort study.,The Lancet Respiratory Medicine,2016,10.1016/S2213-2600(16)00046-1,26917434.0,https://pubmed.ncbi.nlm.nih.gov/26917434/,PubMed_or_DOI_checked
