reference_number,authors,title,journal,year,doi,verification_status
1,"Hotchkiss RS, Monneret G, Payen D",Sepsis-induced immunosuppression: from cellular dysfunctions to immunotherapy,Nature Reviews Immunology,2013,10.1038/nri3552,DOI_or_primary_source_checked_for_V02
2,"Boomer JS, To K, Chang KC, Takasu O, Osborne DF, Walton AH, et al.",Immunosuppression in patients who die of sepsis and multiple organ failure,JAMA,2011,10.1001/jama.2011.1829,DOI_or_primary_source_checked_for_V02
3,"Hancock REW, An A, dos Santos CC, Lee AHY",Deciphering sepsis: transforming diagnosis and treatment through systems immunology,Frontiers in Science,2025,10.3389/fsci.2024.1469417,DOI_or_primary_source_checked_for_V02
4,"Yang Y, Zhang Y, Wu J, Liu Y, Lei X",Decoding immune low-response states in sepsis: single-cell and 3D spatial transcriptomic insights into immunoparalysis,Frontiers in Immunology,2025,10.3389/fimmu.2025.1696914,DOI_or_primary_source_checked_for_V02
5,"Volk HD, Reinke P, Krausch D, Zuckermann H, Asadullah K, Muller JM, et al.",Monocyte deactivation: rationale for a new therapeutic strategy in sepsis,Intensive Care Medicine,1996,10.1007/BF01743727,DOI_or_primary_source_checked_for_V02
6,"Kox WJ, Volk T, Kox SN, Volk HD",Immunomodulatory therapies in sepsis,Intensive Care Medicine,2000,10.1007/s001340051129,DOI_or_primary_source_checked_for_V02
7,"Leentjens J, Kox M, Koch RM, Preijers F, Joosten LA, van der Hoeven JG, et al.","Reversal of immunoparalysis in humans in vivo: a double-blind, placebo-controlled, randomized pilot study",American Journal of Respiratory and Critical Care Medicine,2012,10.1164/rccm.201204-0645OC,DOI_or_primary_source_checked_for_V02
8,"Samuelsen A, Lehman E, Burrows P, Bonavia AS",Time-dependent variation in immunoparalysis biomarkers among patients with sepsis and critical illness,Frontiers in Immunology,2024,10.3389/fimmu.2024.1498974,DOI_or_primary_source_checked_for_V02
9,"Snow TAC, Villa A, Cesar A, Ryckaert F, Saleem N, Smyth D, et al.",Challenges of monocyte HLA-DR targeted immunomodulation in sepsis-a prospective observational cohort study,Frontiers in Immunology,2026,10.3389/fimmu.2025.1709289,DOI_or_primary_source_checked_for_V02
10,"Pachot A, Monneret G, Brion A, Venet F, Bohe J, Bienvenu J, et al.",Messenger RNA expression of major histocompatibility complex class II genes in whole blood from septic shock patients,Critical Care Medicine,2005,10.1097/01.ccm.0000150958.20209.a3,DOI_or_primary_source_checked_for_V02
11,"Cazalis MA, Friggeri A, Cave L, Demaret J, Barbalat V, Cerrato E, et al.",Decreased HLA-DR antigen-associated invariant chain (CD74) mRNA expression predicts mortality after septic shock,Critical Care,2013,10.1186/cc13150,DOI_or_primary_source_checked_for_V02
12,"Joshi I, Carney WP, Rock EP",Utility of monocyte HLA-DR and rationale for therapeutic GM-CSF in sepsis immunoparalysis,Frontiers in Immunology,2023,10.3389/fimmu.2023.1130214,DOI_or_primary_source_checked_for_V02
13,"Roche PA, Furuta K",The ins and outs of MHC class II-mediated antigen processing and presentation,Nature Reviews Immunology,2015,10.1038/nri3818,DOI_or_primary_source_checked_for_V02
14,"Neefjes J, Jongsma ML, Paul P, Bakke O",Towards a systems understanding of MHC class I and MHC class II antigen presentation,Nature Reviews Immunology,2011,10.1038/nri3084,DOI_or_primary_source_checked_for_V02
15,"Davenport EE, Burnham KL, Radhakrishnan J, Humburg P, Hutton P, Mills TC, et al.",Genomic landscape of the individual host response and outcomes in sepsis: a prospective cohort study,The Lancet Respiratory Medicine,2016,10.1016/S2213-2600(16)00046-1,DOI_or_primary_source_checked_for_V02
16,"Scicluna BP, van Vught LA, Zwinderman AH, Wiewel MA, Davenport EE, Burnham KL, et al.",Classification of patients with sepsis according to blood genomic endotype: a prospective cohort study,The Lancet Respiratory Medicine,2017,10.1016/S2213-2600(17)30294-1,DOI_or_primary_source_checked_for_V02
17,"Sweeney TE, Azad TD, Donato M, Haynes WA, Perumal TM, Henao R, et al.",Unsupervised analysis of transcriptomics in bacterial sepsis across multiple datasets reveals three robust clusters,Critical Care Medicine,2018,10.1097/CCM.0000000000003084,DOI_or_primary_source_checked_for_V02
18,"Seymour CW, Kennedy JN, Wang S, Chang CH, Elliott CF, Xu Z, et al.","Derivation, validation, and potential treatment implications of novel clinical phenotypes for sepsis",JAMA,2019,10.1001/jama.2019.5791,DOI_or_primary_source_checked_for_V02
19,"Malic L, Zhang PGY, Plant PJ, Clime L, Nassif C, Da Fonte D, et al.",A machine learning and centrifugal microfluidics platform for bedside prediction of sepsis,Nature Communications,2025,10.1038/s41467-025-59227-x,DOI_or_primary_source_checked_for_V02
20,"Reyes M, Filbin MR, Bhattacharyya RP, Billman K, Eisenhaure T, Hung DT, et al.",An immune-cell signature of bacterial sepsis,Nature Medicine,2020,10.1038/s41591-020-0752-4,DOI_or_primary_source_checked_for_V02
21,"Kwok AJ, Allcock A, Ferreira RC, Cano-Gamez E, Smee M, Burnham KL, et al.",Neutrophils and emergency granulopoiesis drive immune suppression and an extreme response endotype during sepsis,Nature Immunology,2023,10.1038/s41590-023-01490-5,DOI_or_primary_source_checked_for_V02
22,"Yao RQ, Zhao PY, Li ZX, Liu YY, Zheng LY, Duan Y, et al.",Single-cell transcriptome profiling of sepsis identifies HLA-DR(low)S100A(high) monocytes with immunosuppressive function,Military Medical Research,2023,10.1186/s40779-023-00462-y,DOI_or_primary_source_checked_for_V02
23,"Garduno A, Cusack R, Leone M, Einav S, Martin-Loeches I",Multi-omics endotypes in ICU sepsis-induced immunosuppression,Microorganisms,2023,10.3390/microorganisms11051119,DOI_or_primary_source_checked_for_V02
24,COvid-19 Multi-omics Blood ATlas (COMBAT) Consortium,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,Cell,2022,10.1016/j.cell.2022.01.012,DOI_or_primary_source_checked_for_V02
25,"Wang D, Kumar V, Burnham KL, Mentzer AJ, Marsden BD, Knight JC",COMBATdb: a database for the COVID-19 Multi-Omics Blood ATlas,Nucleic Acids Research,2023,10.1093/nar/gkac1019,DOI_or_primary_source_checked_for_V02
26,"Spitzer MH, Nolan GP","Mass cytometry: single cells, many features",Cell,2016,10.1016/j.cell.2016.04.019,DOI_or_primary_source_checked_for_V02
27,"Bendall SC, Simonds EF, Qiu P, Amir el-AD, Krutzik PO, Finck R, et al.",Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum,Science,2011,10.1126/science.1198704,DOI_or_primary_source_checked_for_V02
28,"Finck R, Simonds EF, Jager A, Krishnaswamy S, Sachs K, Fantl W, et al.",Normalization of mass cytometry data with bead standards,Cytometry Part A,2013,10.1002/cyto.a.22271,DOI_or_primary_source_checked_for_V02
29,"Lee JA, Spidlen J, Boyce K, Cai J, Crosbie N, Dalphin M, et al.",MIFlowCyt: the minimum information about a Flow Cytometry Experiment,Cytometry Part A,2008,10.1002/cyto.a.20623,DOI_or_primary_source_checked_for_V02
30,"Spidlen J, Breuer K, Brinkman R",Preparing a MIFlowCyt compliant manuscript using FlowRepository.org,Current Protocols in Cytometry,2012,10.1002/0471142956.cy1018s61,DOI_or_primary_source_checked_for_V02
31,"O'Neill K, Aghaeepour N, Spidlen J, Brinkman R",Flow cytometry bioinformatics,PLoS Computational Biology,2013,10.1371/journal.pcbi.1003365,DOI_or_primary_source_checked_for_V02
32,"Lucas F, Gil-Pulido J, LaMacchia J, Preffer F, Wallace PK, Lopez P",MiSet RFC Standards: Defining a universal minimum set of standards required for reproducibility and rigor in research flow cytometry experiments,Cytometry Part A,2020,10.1002/cyto.a.23940,DOI_or_primary_source_checked_for_V02
33,"Davis MM, Tato CM, Furman D",Systems immunology: just getting started,Nature Immunology,2017,10.1038/ni.3768,DOI_or_primary_source_checked_for_V02
34,"Krassowski M, Das V, Sahu SK, Misra BB",State of the field in multi-omics research: from computational needs to data mining and sharing,Frontiers in Genetics,2020,10.3389/fgene.2020.610798,DOI_or_primary_source_checked_for_V02
35,Ahmed Z,"Multi-omics strategies for personalized and predictive medicine: past, current, and future translational opportunities",Emerging Topics in Life Sciences,2022,10.1042/ETLS20210244,DOI_or_primary_source_checked_for_V02
36,"Wilkinson MD, Dumontier M, Aalbersberg IJ, Appleton G, Axton M, Baak A, et al.",The FAIR Guiding Principles for scientific data management and stewardship,Scientific Data,2016,10.1038/sdata.2016.18,DOI_or_primary_source_checked_for_V02
37,Markowetz F,Five selfish reasons to work reproducibly,Genome Biology,2015,10.1186/s13059-015-0850-7,DOI_or_primary_source_checked_for_V02
38,"Sandve GK, Nekrutenko A, Taylor J, Hovig E",Ten simple rules for reproducible computational research,PLoS Computational Biology,2013,10.1371/journal.pcbi.1003285,DOI_or_primary_source_checked_for_V02
39,"Subramanian A, Tamayo P, Mootha VK, Mukherjee S, Ebert BL, Gillette MA, et al.",Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles,Proceedings of the National Academy of Sciences of the United States of America,2005,10.1073/pnas.0506580102,DOI_or_primary_source_checked_for_V02
40,"Bhuva DD, Foroutan M, Xie Y, Lyu R, Cursons J, Davis MJ",Using singscore to predict mutation status in acute myeloid leukemia from transcriptomic signatures,F1000Research,2019,10.12688/f1000research.19236.3,DOI_or_primary_source_checked_for_V02
41,"Benjamini Y, Hochberg Y",Controlling the false discovery rate: a practical and powerful approach to multiple testing,Journal of the Royal Statistical Society Series B,1995,10.1111/j.2517-6161.1995.tb02031.x,DOI_or_primary_source_checked_for_V02
42,"Storey JD, Tibshirani R",Statistical significance for genomewide studies,Proceedings of the National Academy of Sciences of the United States of America,2003,10.1073/pnas.1530509100,DOI_or_primary_source_checked_for_V02
43,Spearman C,The proof and measurement of association between two things,International Journal of Epidemiology,2010,10.1093/ije/dyq191,DOI_or_primary_source_checked_for_V02
44,"Newman AM, Liu CL, Green MR, Gentles AJ, Feng W, Xu Y, et al.",Robust enumeration of cell subsets from tissue expression profiles,Nature Methods,2015,10.1038/nmeth.3337,DOI_or_primary_source_checked_for_V02
45,"Wang X, Park J, Susztak K, Zhang NR, Li M",Bulk tissue cell type deconvolution with multi-subject single-cell expression reference,Nature Communications,2019,10.1038/s41467-018-08023-x,DOI_or_primary_source_checked_for_V02
46,"Phipson B, Smyth GK",Permutation p-values should never be zero: calculating exact p-values when permutations are randomly drawn,Statistical Applications in Genetics and Molecular Biology,2010,10.2202/1544-6115.1585,DOI_or_primary_source_checked_for_V02
47,"Efron B, Tibshirani RJ",An Introduction to the Bootstrap,Chapman and Hall/CRC,1993,10.1201/9780429246593,DOI_or_primary_source_checked_for_V02
48,"Nakamori Y, Park EJ, Shimaoka M",Immune deregulation in sepsis and septic shock: reversing immune paralysis by targeting PD-1/PD-L1 pathway,Frontiers in Immunology,2020,10.3389/fimmu.2020.624279,DOI_or_primary_source_checked_for_V02
49,"Leventogiannis K, Kyriazopoulou E, Antonakos N, Kotsaki A, Tsangaris I, Markopoulou D, et al.",Toward personalized immunotherapy in sepsis: the PROVIDE randomized clinical trial,Cell Reports Medicine,2022,10.1016/j.xcrm.2022.100817,DOI_or_primary_source_checked_for_V02
50,"Chen Y, Guo DZ, Zhu CL, Ren SC, Sun CY, Wang Y, et al.",The implication of targeting PD-1:PD-L1 pathway in treating sepsis through immunostimulatory and anti-inflammatory pathways,Frontiers in Immunology,2023,10.3389/fimmu.2023.1323797,DOI_or_primary_source_checked_for_V02
